LapReact Mini
Test Start, 120284
Pattern 1, Position 1, ERROR 1, Timestamp 1666
Pattern 4, Position 2, ERROR 27, Timestamp 95
Pattern 4, Position 2, SUCCESS , Timestamp 2891
Pattern 4, Position 3, SUCCESS , Timestamp 2305
Pattern 4, Position 4, SUCCESS , Timestamp 1862
Pattern 4, Position 5, SUCCESS , Timestamp 2875
Pattern 4, Position 6, SUCCESS , Timestamp 2061
Test Start, 251627
Pattern 5, Position 1, ERROR 1, Timestamp 1394
Pattern 5, Position 1, ERROR 2, Timestamp 1396
Pattern 5, Position 1, ERROR 3, Timestamp 1399
Pattern 5, Position 1, ERROR 4, Timestamp 1405
Pattern 5, Position 1, ERROR 5, Timestamp 1407
Pattern 5, Position 1, ERROR 6, Timestamp 1508
Pattern 5, Position 1, ERROR 7, Timestamp 1557
Pattern 5, Position 1, SUCCESS , Timestamp 2188
Pattern 5, Position 2, SUCCESS , Timestamp 2839
Pattern 5, Position 3, SUCCESS , Timestamp 2337
Pattern 5, Position 4, SUCCESS , Timestamp 1776
Pattern 5, Position 5, ERROR 8, Timestamp 264
Pattern 5, Position 5, SUCCESS , Timestamp 3109
Pattern 5, Position 6, SUCCESS , Timestamp 2079
Test Start, 271350
Pattern 6, Position 1, SUCCESS , Timestamp 1581
Pattern 6, Position 2, ERROR 1, Timestamp 35
Pattern 6, Position 2, SUCCESS , Timestamp 3860
Pattern 6, Position 3, SUCCESS , Timestamp 2785
Pattern 6, Position 4, SUCCESS , Timestamp 1860
Pattern 6, Position 5, SUCCESS , Timestamp 2495
